name,author,description,old_price,new_price,topic,age,language
我的狐狸老師,陳厚伸,這是一本關於保護地球和珍惜自然的書籍，通過引人入勝的故事和生動的插圖，向讀者傳達了環境保護的重要性。這本書將啟發讀者愛護地球、珍惜資源，共同建設美好家園。,209,167,環境教育,7-9歲,正體中文
我要快樂,陳瑋進,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,288,230,綜合活動,7-9歲,正體中文
大睛魚皮皮,劉忠翰,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,319,255,綜合活動,7-9歲,正體中文
什麼都要的多瑪,方嘉黛,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,251,200,綜合活動,13-15歲,正體中文
小郵差,王尹伶,這是一本關於社會現象和社會問題的書籍，通過觀察和分析社會生活中的各種現象，幫助讀者理解社會運作的規律和變化。這本書將引領讀者思考社會議題、關心社會發展。,375,300,社會,7-9歲,正體中文
快樂橡皮擦,林而均,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,472,377,綜合活動,13-15歲,正體中文
小猴子小迪,林宜屏,這是一本關於職業規劃和人生發展的書籍，通過啟發人生價值觀和職業規劃，幫助讀者找到人生的方向和目標。這本書將引領讀者探索自我、發現人生意義。,371,296,生涯發展教育,10-12歲,正體中文
有你們真好,林倖如,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,475,380,綜合活動,7-9歲,正體中文
我是黑珍珠,荊柏蓁,這是一本關於社會現象和社會問題的書籍，通過觀察和分析社會生活中的各種現象，幫助讀者理解社會運作的規律和變化。這本書將引領讀者思考社會議題、關心社會發展。,478,382,社會,7-9歲,正體中文
果貓貓,張敏如,這是一本關於社會現象和社會問題的書籍，通過觀察和分析社會生活中的各種現象，幫助讀者理解社會運作的規律和變化。這本書將引領讀者思考社會議題、關心社會發展。,181,144,社會,10-12歲,正體中文
小時候好美喔,陳怡臻,這是一本關於職業規劃和人生發展的書籍，通過啟發人生價值觀和職業規劃，幫助讀者找到人生的方向和目標。這本書將引領讀者探索自我、發現人生意義。,116,92,生涯發展教育,10-12歲,正體中文
最後才懂,游加伊,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,373,298,綜合活動,10-12歲,正體中文
快樂貓的尋花之旅,黃亦娟,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,469,375,綜合活動,10-12歲,正體中文
摩爾‧摩瑞‧魔藥,黃百安,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,217,173,綜合活動,10-12歲,正體中文
善變的甜甜,趙琍雅,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,277,221,綜合活動,13-15歲,正體中文
夢想成真,賴琍安,這是一本關於職業規劃和人生發展的書籍，通過啟發人生價值觀和職業規劃，幫助讀者找到人生的方向和目標。這本書將引領讀者探索自我、發現人生意義。,398,318,生涯發展教育,10-12歲,正體中文
蘋果滾滾記,賴菁芊,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,410,328,綜合活動,13-15歲,正體中文
原來我愛你,徐紹華,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,168,134,綜合活動,10-12歲,正體中文
不能沒有你,鍾佩容,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,221,176,綜合活動,13-15歲,正體中文
摘太陽的國王,黃凱,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,301,240,綜合活動,10-12歲,正體中文
愛唱歌的小麻雀,余靜,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,471,376,綜合活動,13-15歲,正體中文
我們的冬天,李祐欣,這是一本關於自然界和科技應用的書籍，介紹了自然界的奧秘和科技的創新，啟發讀者對自然和科技的好奇心和探索精神。這本書將讓讀者了解自然界的奇妙和科技的力量，探索未知的世界。,454,363,自然與生活科技,10-12歲,正體中文
愛心+糖果=勇氣,林均沛,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,494,395,綜合活動,10-12歲,正體中文
我們不一樣,林宴翎,這是一本集合了各種不同元素的書籍，包括故事、遊戲、手工藝等，讓讀者在閱讀中獲得全面的知識和樂趣。這本書將帶領讀者展開一場豐富多彩的冒險，發掘新的世界。,139,111,綜合活動,10-12歲,正體中文
